master_customer_id,mean_qty,std_qty,n_weeks
243.0,2306.0243902439024,2056.703971015334,41
244.0,1876.0,1708.5266614662985,35
245.0,1600.8048780487804,1119.0136554017604,41
246.0,1421.108695652174,1191.0190450620355,46
247.0,2388.259259259259,2994.0241840731373,27
248.0,2291.1785714285716,1213.2659643559407,28
249.0,7338.86,13136.79239110289,50
250.0,2150.25641025641,1986.5502460023602,39
251.0,2048.548387096774,1405.6607423488233,31
252.0,1715.5405405405406,2596.3528971167166,37
253.0,1947.15625,3432.2258188488386,32
254.0,1483.095238095238,1261.6171351034066,42
255.0,1440.7674418604652,1065.0458035580598,43
256.0,1990.9032258064517,2682.053260157706,31
257.0,2117.7586206896553,2069.487025037371,29
258.0,1611.657894736842,1563.3527428957843,38
259.0,2185.6071428571427,3044.0543911440523,28
260.0,3324.2051282051284,3872.611115455818,39
261.0,1446.5,1205.5439871186986,42
262.0,2977.766666666667,3318.5568808240077,30
263.0,1459.4146341463415,1645.944652404961,41
264.0,1391.1162790697674,1312.5042260122864,43
265.0,1348.3636363636363,1027.1839374900835,44
266.0,1597.452380952381,1158.9284201550038,42
267.0,2916.659090909091,2105.1588896911476,44
268.0,1436.439024390244,1099.6802500904637,41
269.0,1583.9782608695652,1205.718605260972,46
270.0,1952.4,2353.6745680772847,30
271.0,1827.59375,2026.4840497350688,32
272.0,1575.8108108108108,1322.2100152110195,37
273.0,1878.1612903225807,2022.5063839499442,31
274.0,1630.7297297297298,1777.3078212823998,37
275.0,1873.225806451613,2845.9435308250863,31
276.0,1701.5294117647059,2113.0491287049754,34
277.0,1806.0625,1430.0705585457504,32
278.0,1790.75,2040.356214946539,32
279.0,1432.275,1330.0861739482164,40
280.0,1675.025641025641,1674.2355284094272,39
281.0,6362.883720930233,4687.23807501513,43
282.0,1538.5641025641025,1265.6034715101391,39
283.0,1943.0,2401.5735020428347,29
284.0,1401.85,1022.4856728981836,40
285.0,1732.975,1880.1666386526924,40
286.0,1555.4358974358975,1721.5322397102163,39
287.0,1460.8947368421052,1172.9004194839408,38
288.0,1732.65625,1724.2614615253724,32
289.0,1497.5135135135135,1817.3497434698943,37
290.0,3838.4583333333335,2435.068350286573,48
291.0,1417.25,1470.977204411216,40
292.0,1775.516129032258,2174.6143086528814,31
293.0,1607.3823529411766,1797.708861970263,34
294.0,2505.0,2392.8150904620397,36
295.0,2097.4772727272725,2358.0286453931626,44
296.0,1868.5862068965516,1681.4518921209851,29
297.0,1639.7575757575758,1314.0479450514504,33
298.0,1598.2857142857142,1416.8137735452613,35
299.0,4107.153846153846,2189.16581700861,13
300.0,1718.3870967741937,1432.26935728862,31
301.0,1438.8108108108108,2017.1083102886257,37
302.0,3080.8958333333335,3124.925648406275,48
303.0,1826.5172413793102,2491.601301238819,29
304.0,4600.847826086957,6191.432546376363,46
305.0,1389.921052631579,1683.247960432914,38
306.0,4922.536585365854,3425.9931924739794,41
307.0,1590.4848484848485,1312.1256399734584,33
308.0,1418.4324324324325,1206.2287543446341,37
309.0,1589.5757575757575,1686.6659611179502,33
310.0,2174.714285714286,2342.829995231114,35
311.0,2882.6666666666665,3097.1999680802696,42
312.0,2459.5588235294117,2201.8720848980124,34
313.0,1605.96875,2402.5977269825285,32
314.0,1671.6,1392.9345505331419,30
315.0,1709.780487804878,1451.2687640853283,41
316.0,1417.6571428571428,1241.1127583711307,35
317.0,1644.3666666666666,2019.2560508391637,30
318.0,2454.4,1618.4694329097347,20
319.0,1587.825,1878.8363131647914,40
320.0,1634.2,1697.5010314353678,30
321.0,1516.8125,2303.8080178401406,32
322.0,1560.225806451613,1681.3289130858643,31
323.0,1849.9615384615386,2327.4792283630673,26
324.0,3995.8863636363635,4129.983632018408,44
325.0,1536.4375,1844.4541624171811,32
326.0,6363.434782608696,6195.492833601515,46
327.0,2131.0454545454545,2528.887944518447,22
328.0,1749.53125,1994.665918900755,32
329.0,1665.107142857143,2222.5125478008613,28
330.0,1194.3589743589744,1001.2321484624382,39
331.0,1552.6333333333334,1883.0818006173,30
332.0,2065.423076923077,1638.7967335353562,26
333.0,1633.0,1671.67465933616,37
