sku,mean_qty,std_qty,n_weeks,min_qty,max_qty,cv,range_ratio,pattern
11289,566.6666666666666,1166.6257897600813,21,1.0,5441.0,2.058751393694261,5441.0,bulk_oneoff
11290,1466.642857142857,2460.896738307757,28,33.0,11479.0,1.6779113785763697,347.8484848484849,bulk_oneoff
11301,170.0,173.97317800933186,4,20.0,340.0,1.023371635349011,17.0,insufficient_data
11311,10848.0,13513.782713297644,19,1.0,44065.0,1.2457395569042813,44065.0,bulk_oneoff
11312,902.3414634146342,1271.6653571155443,41,4.0,6382.0,1.409295049241467,1595.5,bulk_oneoff
11313,1579.5652173913043,3671.1792695243735,46,1.0,20104.0,2.3241707459141367,20104.0,bulk_oneoff
11314,20.0,0.0,6,20.0,20.0,0.0,1.0,insufficient_data
11315,1281.9166666666667,2154.125060288357,24,1.0,9015.0,1.6803939883936996,9015.0,bulk_oneoff
11318,20.0,0.0,6,20.0,20.0,0.0,1.0,insufficient_data
11321,4342.076923076923,6969.940452418256,13,6.0,24277.0,1.6052088841114203,4046.1666666666665,bulk_oneoff
11322,2608.0,4292.471303892065,20,20.0,15981.0,1.6458862361549331,799.05,bulk_oneoff
11323,3591.4444444444443,5184.027635707373,9,208.0,16081.0,1.4434380695283964,77.3125,insufficient_data
11324,89.625,173.90172449578728,24,4.0,864.0,1.9403260752668037,216.0,bulk_oneoff
11325,140.95652173913044,311.5625543874659,23,2.0,1378.0,2.2103450804786293,689.0,bulk_oneoff
11326,76.27586206896552,180.8475870828654,29,1.0,860.0,2.3709674617554684,860.0,bulk_oneoff
11327,82.25,182.66415752534607,28,2.0,760.0,2.2208408209768518,380.0,bulk_oneoff
11328,136.23529411764707,84.32479013747414,34,10.0,337.0,0.6189643490229103,33.7,cyclical
11329,102.78947368421052,170.79733895512555,19,1.0,544.0,1.6616228572183234,544.0,bulk_oneoff
11330,54.125,74.7270031514713,8,2.0,230.0,1.3806374716207168,115.0,insufficient_data
11331,65.0,68.26602375999352,9,20.0,236.0,1.0502465193845156,11.8,insufficient_data
11335,40.125,33.55778598179564,8,2.0,82.0,0.8363311148111062,41.0,insufficient_data
