sku,year_week,weekly_quantity,category,description
10023,2025-W08,330.0,Hardware,STYLIN DREDZ OIL MOISTUSING SPRAY 6x350ML
10023,2025-W09,305.0,Hardware,STYLIN DREDZ OIL MOISTUSING SPRAY 6x350ML
10023,2025-W11,5.0,Hardware,STYLIN DREDZ OIL MOISTUSING SPRAY 6x350ML
10023,2025-W14,1356.0,Hardware,STYLIN DREDZ OIL MOISTUSING SPRAY 6x350ML
10023,2025-W15,13.0,Hardware,STYLIN DREDZ OIL MOISTUSING SPRAY 6x350ML
10023,2025-W16,17.0,Hardware,STYLIN DREDZ OIL MOISTUSING SPRAY 6x350ML
10023,2025-W17,733.0,Hardware,STYLIN DREDZ OIL MOISTUSING SPRAY 6x350ML
10023,2025-W18,5.0,Hardware,STYLIN DREDZ OIL MOISTUSING SPRAY 6x350ML
10023,2025-W23,430.0,Hardware,STYLIN DREDZ OIL MOISTUSING SPRAY 6x350ML
10023,2025-W24,410.0,Hardware,STYLIN DREDZ OIL MOISTUSING SPRAY 6x350ML
10023,2025-W25,500.0,Hardware,STYLIN DREDZ OIL MOISTUSING SPRAY 6x350ML
10023,2025-W26,760.0,Hardware,STYLIN DREDZ OIL MOISTUSING SPRAY 6x350ML
10024,2024-W03,2050.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (2)
10024,2025-W01,4490.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (2)
10024,2025-W02,8686.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (2)
10024,2025-W03,23778.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (2)
10024,2025-W04,15986.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (2)
10024,2025-W05,13661.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (2)
10024,2025-W06,2671.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (2)
10024,2025-W07,1631.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (2)
10024,2025-W08,2374.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (2)
10024,2025-W09,2825.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (2)
10024,2025-W10,3204.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (2)
10024,2025-W11,4121.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (2)
10024,2025-W12,2614.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (2)
10024,2025-W13,2825.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (2)
10024,2025-W14,7228.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (2)
10024,2025-W15,7120.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (2)
10024,2025-W16,4325.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (2)
10024,2025-W17,4340.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (2)
10024,2025-W18,4778.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (2)
10024,2025-W19,7184.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (2)
10024,2025-W20,8703.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (2)
10024,2025-W21,5672.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (2)
10024,2025-W22,7178.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (2)
10024,2025-W23,4847.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (2)
10024,2025-W24,2679.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (2)
10024,2025-W25,3361.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (2)
10024,2025-W26,2685.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (2)
10025,2024-W03,2795.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2024-W04,1240.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2024-W05,100.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2025-W01,6930.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2025-W02,10936.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2025-W03,41850.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2025-W04,37167.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2025-W05,32558.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2025-W06,4722.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2025-W07,2738.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2025-W08,4939.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2025-W09,2640.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2025-W10,6437.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2025-W11,7383.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2025-W12,4736.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2025-W13,5362.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2025-W14,9369.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2025-W15,9532.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2025-W16,7558.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2025-W17,12722.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2025-W18,9598.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2025-W19,13473.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2025-W20,9585.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2025-W21,6316.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2025-W22,11790.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2025-W23,5991.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2025-W24,3796.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2025-W25,4116.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
10025,2025-W26,3168.0,Baby and Toddler,HUGGIES JUMBO PACK SIZE (3)
