customer_id,year_week,weekly_quantity,customer_name
HB_BAL001,2024-W05,738.0,BALLOTSVIEW SUPERMARKET
HB_BAL001,2025-W05,738.0,BALLOTSVIEW SUPERMARKET
HB_BAL001,2025-W11,772.0,BALLOTSVIEW SUPERMARKET
HB_BAL001,2025-W15,242.0,BALLOTSVIEW SUPERMARKET
HB_BAL001,2025-W16,975.0,BALLOTSVIEW SUPERMARKET
HB_BAL001,2025-W18,1595.0,BALLOTSVIEW SUPERMARKET
HB_BAL001,2025-W19,453.0,BALLOTSVIEW SUPERMARKET
HB_BAL001,2025-W20,313.0,BALLOTSVIEW SUPERMARKET
HB_BAL001,2025-W21,613.0,BALLOTSVIEW SUPERMARKET
HB_BAL001,2025-W22,324.0,BALLOTSVIEW SUPERMARKET
HB_BAL001,2025-W24,578.0,BALLOTSVIEW SUPERMARKET
HB_BAL001,2025-W25,913.0,BALLOTSVIEW SUPERMARKET
HB_BAL001,2025-W26,5303.0,BALLOTSVIEW SUPERMARKET
HB_BIS001,2024-W03,2620.0,Bismillah Shop2
HB_BIS001,2025-W03,2620.0,Bismillah Shop2
HB_BUS001,2025-W03,12832.0,BUSY CORNER HOP
HB_BUS001,2025-W09,2587.0,BUSY CORNER HOP
HB_BUS001,2025-W11,1317.0,BUSY CORNER HOP
HB_BUS001,2025-W12,384.0,BUSY CORNER HOP
HB_BUS001,2025-W13,2727.0,BUSY CORNER HOP
HB_BUS001,2025-W14,3416.0,BUSY CORNER HOP
HB_BUS001,2025-W15,150.0,BUSY CORNER HOP
HB_BUS001,2025-W17,4172.0,BUSY CORNER HOP
HB_BUS001,2025-W18,201.0,BUSY CORNER HOP
HB_BUS001,2025-W19,1503.0,BUSY CORNER HOP
HB_BUS001,2025-W20,3455.0,BUSY CORNER HOP
HB_BUS001,2025-W22,10881.0,BUSY CORNER HOP
HB_BUS001,2025-W23,2001.0,BUSY CORNER HOP
HB_BUS001,2025-W24,2858.0,BUSY CORNER HOP
HB_BUS001,2025-W25,3689.0,BUSY CORNER HOP
HB_BUS001,2025-W26,3269.0,BUSY CORNER HOP
HB_CAS001,2024-W03,830.0,Cash by Counter Shop
HB_CAS001,2025-W04,830.0,Cash by Counter Shop
HB_CAS001,2025-W10,320.0,Cash by Counter Shop
HB_CAS001,2025-W11,320.0,Cash by Counter Shop
HB_CAS001,2025-W12,320.0,Cash by Counter Shop
HB_CAS001,2025-W13,450.0,Cash by Counter Shop
HB_CEN001,2024-W03,1718.0,Centerpoint Minimarket
HB_CEN001,2025-W03,488.0,Centerpoint Minimarket
HB_CEN001,2025-W04,1230.0,Centerpoint Minimarket
HB_CEN001,2025-W09,1521.0,Centerpoint Minimarket
HB_CHE002,2024-W04,452.0,Cheap Cheap Shop
HB_CHE002,2025-W03,1166.0,Cheap Cheap Shop
HB_CHE002,2025-W04,452.0,Cheap Cheap Shop
HB_CHE002,2025-W12,1035.0,Cheap Cheap Shop
HB_CHE002,2025-W13,210.0,Cheap Cheap Shop
HB_CHE002,2025-W14,532.0,Cheap Cheap Shop
HB_CHE002,2025-W23,297.0,Cheap Cheap Shop
HB_CHE002,2025-W25,551.0,Cheap Cheap Shop
HB_CHE002,2025-W26,210.0,Cheap Cheap Shop
HB_CIT001,2024-W03,1600.0,City Shop No2
HB_CIT001,2025-W03,1600.0,City Shop No2
HB_COM006,2024-W03,1088.0,Community ShopNo1
HB_COM006,2025-W03,1088.0,Community ShopNo1
HB_COM006,2025-W12,1340.0,Community ShopNo1
HB_CUT001,2024-W04,1327.0,"Cut Price C,n,carry"
HB_CUT001,2024-W05,1430.0,"Cut Price C,n,carry"
HB_CUT001,2025-W02,10540.0,"Cut Price C,n,carry"
HB_CUT001,2025-W03,6700.0,"Cut Price C,n,carry"
HB_CUT001,2025-W04,1327.0,"Cut Price C,n,carry"
HB_CUT001,2025-W05,1430.0,"Cut Price C,n,carry"
HB_CUT001,2025-W10,3155.0,"Cut Price C,n,carry"
HB_CUT001,2025-W12,2502.0,"Cut Price C,n,carry"
HB_CUT001,2025-W13,1184.0,"Cut Price C,n,carry"
HB_CUT001,2025-W14,3953.0,"Cut Price C,n,carry"
HB_CUT001,2025-W15,3132.0,"Cut Price C,n,carry"
HB_CUT001,2025-W16,635.0,"Cut Price C,n,carry"
