category_l1,date,period,quantity,revenue,num_orders,num_customers
Baby and Toddler,2025-09-30,H2,42694,6954338.41,95,87
Baby and Toddler,2025-10-01,H2,7923,1375371.7,20,20
Baby and Toddler,2025-10-02,H2,14131,2443254.79,29,26
Baby and Toddler,2025-10-03,H2,20048,3213675.86,30,29
Baby and Toddler,2025-10-04,H2,9090,1478026.74,15,15
Baby and Toddler,2025-10-06,H2,19993,3896114.05,34,34
Baby and Toddler,2025-10-07,H2,12964,2311569.35,31,30
Baby and Toddler,2025-10-08,H2,26725,3942793.48,95,82
Baby and Toddler,2025-10-09,H2,16693,3210503.29,45,45
Baby and Toddler,2025-10-10,H2,15276,2606906.96,42,40
Baby and Toddler,2025-10-11,H2,5470,1108181.8,13,13
Baby and Toddler,2025-10-13,H2,12833,2364925.13,28,28
Baby and Toddler,2025-10-14,H2,17360,3195417.03,34,33
Baby and Toddler,2025-10-15,H2,15985,3033030.93,25,25
Baby and Toddler,2025-10-16,H2,17702,2845430.62,43,42
Baby and Toddler,2025-10-17,H2,13674,2535893.1,32,31
Baby and Toddler,2025-10-18,H2,3405,822624.75,7,7
Baby and Toddler,2025-10-20,H2,15864,3048651.94,46,44
Baby and Toddler,2025-10-21,H2,22465,4272143.6899999995,32,32
Baby and Toddler,2025-10-22,H2,15556,2724384.41,45,44
Baby and Toddler,2025-10-23,H2,21226,4173383.73,35,35
Baby and Toddler,2025-10-24,H2,14949,2375113.55,41,41
Baby and Toddler,2025-10-25,H2,31586,4738207.3,39,34
Baby and Toddler,2025-10-27,H2,11751,2229168.95,25,24
Baby and Toddler,2025-10-28,H2,16784,3414248.75,27,27
Baby and Toddler,2025-10-29,H2,25854,4288040.61,35,34
Baby and Toddler,2025-10-30,H2,28067,4391148.23,41,37
Baby and Toddler,2025-10-31,H2,40626,6367383.87,50,46
Baby and Toddler,2025-11-01,H2,24789,3160311.05,45,43
Baby and Toddler,2025-11-03,H2,29175,2251792.61,46,44
Baby and Toddler,2025-11-04,H2,26070,2229789.65,39,39
Baby and Toddler,2025-11-05,H2,22652,2305052.56,38,38
Baby and Toddler,2025-11-06,H2,29565,2534535.12,47,46
Baby and Toddler,2025-11-07,H2,26692,3056467.24,41,40
Baby and Toddler,2025-11-08,H2,15942,1618248.62,22,20
Baby and Toddler,2025-11-10,H2,24170,3194528.16,35,35
Baby and Toddler,2025-11-11,H2,12659,2243038.05,28,28
Baby and Toddler,2025-11-12,H2,32336,4478460.74,29,28
Baby and Toddler,2025-11-13,H2,33399,2473036.4,54,48
Baby and Toddler,2025-11-14,H2,11685,2946484.25,24,24
Baby and Toddler,2025-11-15,H2,39748,2402085.81,71,59
Baby and Toddler,2025-11-17,H2,54700,3524533.5300000003,74,60
Baby and Toddler,2025-11-18,H2,71236,3719604.49,90,63
Baby and Toddler,2025-11-19,H2,67133,3042499.0,76,60
Baby and Toddler,2025-11-20,H2,83807,3095689.36,98,81
Baby and Toddler,2025-11-21,H2,157078,6451869.25,140,97
Baby and Toddler,2025-11-22,H2,68005,2779542.73,59,52
Baby and Toddler,2025-11-24,H2,43409,1709933.33,56,50
Baby and Toddler,2025-11-25,H2,23119,2390692.09,47,44
Baby and Toddler,2025-11-26,H2,49761,2580001.73,59,53
Baby and Toddler,2025-11-27,H2,74529,4772190.28,61,54
Baby and Toddler,2025-11-28,H2,27377,2839872.87,31,31
Baby and Toddler,2025-11-29,H2,18121,1067005.12,24,24
Baby and Toddler,2025-12-01,H2,27178,4548605.28,59,56
Baby and Toddler,2025-12-02,H2,19551,3767561.7,39,39
Baby and Toddler,2025-12-03,H2,22217,4369469.84,44,42
Baby and Toddler,2025-12-04,H2,10412,1977296.2,28,28
