original_customer_id,master_customer_id,customer_name
49,161,AFRICA HARDWARE KWAMHLANGA
520,162,SWEET CORNER & COSMETICS
958,163,RONSAM MUTHI SHOP & COSMETICS
475,164,ONE BY ONE KEMPTON PARK
50,165,ROODEPOORT CASH AND CARRY
362,166,LEBOWAKGOMO CASH & CARRY
385,167,COSMO CASH AND CARRY
44,168,YUSUF BUILDING MATERIAL CC
HB_SAL001,169,Salamuuni Super Market
112,170,TANAAT CASH AND CARRY
HB_FOU001,171,Fourstar Supermatket
685,172,HBIN TRADING
140,173,SALAXEEY CASH AND CERRY
HB_AL 002,174,AL MUBARAK CASH STORE
471,175,V7 SUPERMARKET
HB_SHA002,176,SHAMIKA SUPERMARKET
482,177,SARFARAAZ TRADING POLOKWANE
733,178,BARQADLE GENERAL DEALER
55,179,SOMSOUTH EXPORT AND IMPORTS PTY LTD
168,180,AT AWALO RABASOTHO
451,181,NEW BLUE STAR CASH AND CARRY
459,182,BARAKA CASH N CARRY
497,183,B CRON TRADING PTY LTD T/A U-CHOICE CC POLOKWANE
496,184,PATEL CASH N CARRY
846,185,TSHABETHE TRADING & PRJ
410,186,MESUM CASH & CARRY
177,187,KB SUPERSTORE
423,188,NORANI TRADING CHISTY SUPERMARKET
431,189,SULTAN M TRADING
564,190,JUE GENERAL TRADING
342,191,NKATEKO DISTRIBUTORS
480,192,Y&M SUPERMARKET
641,192,Y&M SUPERMARKET
691,193,SERIFATU IMPORT AND EXPORT
HB_DFS001,194,Cash & Carry DF Scott
364,195,THREE BROTHERS WHOLESALERS
842,196,AFRICAN SAVE CASH & CARRY
369,197,BAYVIEW EXPORTS (PTY) LTD
611,198,SAAS DIAPERS
49,199,MANCO AFRICA LOGISTICS & COMMODITIE
792,200,S AKBAR TRADING
546,201,SUPA NEW ERA TRADING
371,202,ZUKA FACTORY SHOP (PTY) LTD
460,202,ZUKA FACTORY SHOP (PTY) LTD
624,203,KURA SUPER MARKET
HB_ALL001,204,ALL IN ONE STOTE
398,205,MAHARIBA GENERAL DEALER
HB_DAN002,206,DANKAAR WINKEL SHOP
481,207,BISMILLAH WATLOO CASH & CARRY
943,208,CAMHILL DISTRIBUTORS
222,209,VANDERBIJL PARK CASH AND CARRY
857,210,SUNNY CASH & CARRY
HB_SAI001,211,SAIFUL MINIMARKET
HB_SUN002,212,SUNRISE CASH STORE
409,213,MZANZI DISCOUNT WHOLESALERS
139,214,PAPATO CASH & CARRY
154,215,KING HARDWARE & STEEL EVATON
972,216,A B C CASH & CARRY
636,217,AFRICAN QUALITY TRADING
106,218,SAID TRADING
336,219,JOWHAR GENERAL DEALER
20,220,USAVE MORE CASH & CARRY
227,221,AZHER TRADING
784,222,RIRHANDZU DISTRIBUTORS
719,223,JZH CAPITAL INVESTMENT
