category_l1,year_week,period,quantity,revenue,num_orders,num_customers,date
Hardware,2025-W26,H1,170816,27385694.54,593,244,2025-06-23
Hardware,2025-W27,H2,195867,27874846.88,429,176,2025-06-30
Hardware,2025-W28,H2,151745,25351369.32,537,238,2025-07-07
Hardware,2025-W29,H2,164758,27545860.73,402,173,2025-07-14
Hardware,2025-W30,H2,209322,30771404.66,523,183,2025-07-21
Hardware,2025-W31,H2,247169,32847956.73,574,208,2025-07-28
Hardware,2025-W32,H2,121147,22664652.77,522,245,2025-08-04
Hardware,2025-W33,H2,200983,32574638.1,638,261,2025-08-11
Hardware,2025-W34,H2,146418,23136788.4,500,209,2025-08-18
Hardware,2025-W35,H2,135474,25282937.42,495,243,2025-08-25
Hardware,2025-W36,H2,166735,28829742.07,650,248,2025-09-01
Hardware,2025-W37,H2,146729,22474814.17,420,174,2025-09-08
Hardware,2025-W38,H2,151642,25310116.46,371,153,2025-09-15
Hardware,2025-W39,H2,195888,26466263.18,382,156,2025-09-22
Hardware,2025-W40,H2,248575,34516269.56,516,195,2025-09-29
Hardware,2025-W41,H2,117264,20054339.05,489,218,2025-10-06
Hardware,2025-W42,H2,164752,26968304.9,416,171,2025-10-13
Hardware,2025-W43,H2,133906,22223864.9,474,197,2025-10-20
Hardware,2025-W44,H2,232566,33785290.26,515,212,2025-10-27
Hardware,2025-W45,H2,389145,40194667.0,692,276,2025-11-03
Hardware,2025-W46,H2,319218,36405604.58,687,236,2025-11-10
Hardware,2025-W47,H2,767012,46515946.13,1111,286,2025-11-17
Hardware,2025-W48,H2,309197,22334137.59,592,223,2025-11-24
Hardware,2025-W49,H2,332486,44050840.45,767,269,2025-12-01
Hardware,2025-W50,H2,263848,42653991.93,805,322,2025-12-08
Hardware,2025-W51,H2,270297,44017248.16,917,392,2025-12-15
Hardware,2025-W52,H2,72649,10230330.7,130,56,2025-12-22
Home & Garden,2025-W02,H1,245958,88792980.8,180,161,2025-01-06
Home & Garden,2025-W03,H1,363226,118642337.9,308,227,2025-01-13
Home & Garden,2025-W04,H1,402686,149031167.36,319,243,2025-01-20
Home & Garden,2025-W05,H1,337101,122114527.82,345,248,2025-01-27
Home & Garden,2025-W06,H1,130671,50208884.55,251,189,2025-02-03
Home & Garden,2025-W07,H1,77354,30357707.09,248,161,2025-02-10
Home & Garden,2025-W08,H1,147379,58595434.17,347,215,2025-02-17
Home & Garden,2025-W09,H1,44879,21566130.83,116,88,2025-02-24
Home & Garden,2025-W10,H1,70956,27105384.38,182,140,2025-03-03
Home & Garden,2025-W11,H1,50512,19175840.16,165,131,2025-03-10
Home & Garden,2025-W12,H1,57931,23756869.79,211,161,2025-03-17
Home & Garden,2025-W13,H1,71882,26992415.71,222,172,2025-03-24
Home & Garden,2025-W14,H1,251756,62090320.39,358,246,2025-03-31
Home & Garden,2025-W15,H1,135725,38236791.42,507,323,2025-04-07
Home & Garden,2025-W16,H1,104575,30274204.1,448,295,2025-04-14
Home & Garden,2025-W17,H1,117485,34443790.78,423,290,2025-04-21
Home & Garden,2025-W18,H1,132700,38934828.42,372,255,2025-04-28
Home & Garden,2025-W19,H1,139134,43091025.27,310,219,2025-05-05
Home & Garden,2025-W20,H1,169992,47081070.53,467,265,2025-05-12
