category_l1,date,period,quantity,revenue,num_orders,num_customers
Brand Manufacturers,2025-09-12,H2,185,59090.0,6,4
Brand Manufacturers,2025-09-13,H2,140,14680.0,5,5
Brand Manufacturers,2025-09-15,H2,10,3200.0,1,1
Brand Manufacturers,2025-09-18,H2,34,10880.0,2,1
Brand Manufacturers,2025-09-19,H2,10,960.0,1,1
Brand Manufacturers,2025-09-22,H2,170,37790.0,3,3
Brand Manufacturers,2025-09-24,H2,130,12640.0,2,2
Brand Manufacturers,2025-09-25,H2,60,5550.0,3,3
Brand Manufacturers,2025-09-26,H2,61,5727.0,3,3
Brand Manufacturers,2025-09-27,H2,112,12820.0,2,2
Brand Manufacturers,2025-09-29,H2,195,19938.0,6,4
Brand Manufacturers,2025-09-30,H2,70,22400.0,3,1
Brand Manufacturers,2025-10-01,H2,10,3200.0,1,1
Brand Manufacturers,2025-10-02,H2,70,20100.0,3,2
Brand Manufacturers,2025-10-04,H2,75,19200.0,2,2
Brand Manufacturers,2025-10-06,H2,50,7080.0,3,2
Brand Manufacturers,2025-10-07,H2,40,5840.0,2,2
Brand Manufacturers,2025-10-08,H2,116,33462.0,3,3
Brand Manufacturers,2025-10-09,H2,10,3200.0,1,1
Brand Manufacturers,2025-10-11,H2,15,4800.0,2,1
Brand Manufacturers,2025-10-13,H2,190,60800.0,6,4
Brand Manufacturers,2025-10-14,H2,130,11480.0,4,4
Brand Manufacturers,2025-10-15,H2,30,7380.0,3,2
Brand Manufacturers,2025-10-16,H2,50,16000.0,1,1
Brand Manufacturers,2025-10-17,H2,31,5508.0,3,3
Brand Manufacturers,2025-10-18,H2,50,16000.0,1,1
Brand Manufacturers,2025-10-20,H2,48,7444.0,3,3
Brand Manufacturers,2025-10-21,H2,60,7780.0,3,3
Brand Manufacturers,2025-10-22,H2,116,33462.0,3,3
Brand Manufacturers,2025-10-23,H2,10,3200.0,1,1
Brand Manufacturers,2025-10-25,H2,115,36690.0,3,2
Brand Manufacturers,2025-10-27,H2,100,29780.0,6,4
Brand Manufacturers,2025-10-28,H2,130,13700.0,4,4
Brand Manufacturers,2025-10-30,H2,80,10240.0,1,1
Brand Manufacturers,2025-10-31,H2,34,10880.0,2,1
Brand Manufacturers,2025-11-01,H2,22,2646.0,2,2
Brand Manufacturers,2025-11-03,H2,182,39476.0,4,4
Brand Manufacturers,2025-11-04,H2,39,4881.0,3,3
Brand Manufacturers,2025-11-05,H2,190,18190.0,5,5
Brand Manufacturers,2025-11-06,H2,73,7413.0,4,4
Brand Manufacturers,2025-11-07,H2,237,26448.0,6,3
Brand Manufacturers,2025-11-08,H2,80,9510.0,3,3
Brand Manufacturers,2025-11-10,H2,72,20886.0,3,2
Brand Manufacturers,2025-11-12,H2,34,10880.0,2,1
Brand Manufacturers,2025-11-13,H2,142,43386.0,4,3
Brand Manufacturers,2025-11-14,H2,30,5140.0,2,2
Brand Manufacturers,2025-11-15,H2,48,8898.0,6,4
Brand Manufacturers,2025-11-17,H2,92,8956.0,4,4
Brand Manufacturers,2025-11-18,H2,68,6559.88,5,5
Brand Manufacturers,2025-11-19,H2,51,3184.9300000000003,4,4
Brand Manufacturers,2025-11-20,H2,10,3200.0,1,1
Brand Manufacturers,2025-11-21,H2,234,14719.52,14,12
Brand Manufacturers,2025-11-22,H2,82,20319.96,4,3
Brand Manufacturers,2025-11-24,H2,98,16879.84,5,5
Brand Manufacturers,2025-11-25,H2,90,12920.0,5,3
Brand Manufacturers,2025-11-26,H2,138,36881.96,5,4
Brand Manufacturers,2025-11-27,H2,36,659.88,3,3
Brand Manufacturers,2025-11-28,H2,24,439.92,2,2
Brand Manufacturers,2025-11-29,H2,12,219.96,1,1
Brand Manufacturers,2025-12-01,H2,23,2833.0,5,5
Brand Manufacturers,2025-12-02,H2,183,39675.0,5,5
Brand Manufacturers,2025-12-03,H2,152,15810.0,6,6
Brand Manufacturers,2025-12-04,H2,145,14733.0,8,8
Brand Manufacturers,2025-12-05,H2,142,18296.0,5,4
Brand Manufacturers,2025-12-06,H2,200,21087.0,7,5
Brand Manufacturers,2025-12-08,H2,81,22245.0,4,3
Brand Manufacturers,2025-12-09,H2,21,3005.0,3,3
Brand Manufacturers,2025-12-10,H2,44,12328.0,4,3
Brand Manufacturers,2025-12-11,H2,150,43640.0,4,3
Brand Manufacturers,2025-12-12,H2,20,4984.0,4,2
Brand Manufacturers,2025-12-13,H2,22,4916.0,2,2
Brand Manufacturers,2025-12-15,H2,101,10313.0,6,6
Brand Manufacturers,2025-12-16,H2,62,8700.0,4,4
Brand Manufacturers,2025-12-17,H2,10,3200.0,1,1
Brand Manufacturers,2025-12-19,H2,80,7750.0,3,3
Brand Manufacturers,2025-12-20,H2,123,33944.0,2,2
Brand Manufacturers,2025-12-22,H2,140,13610.0,3,3
Brand Manufacturers,2025-12-23,H2,111,10307.0,5,5
Food,2025-06-30,H2,46823,11166885.22,144,107
Food,2025-07-01,H2,9423,2437682.28,18,17
Food,2025-07-02,H2,11788,2998502.28,21,20
Food,2025-07-03,H2,16889,4374396.0,28,27
Food,2025-07-04,H2,10081,2434318.5,26,26
Food,2025-07-05,H2,4976,967257.3,10,10
Food,2025-07-07,H2,14179,3167849.6,16,16
Food,2025-07-08,H2,33222,8819219.96,68,63
Food,2025-07-09,H2,60419,16655804.65,108,92
Food,2025-07-10,H2,39387,10410488.48,76,70
Food,2025-07-11,H2,24619,6658343.96,54,48
Food,2025-07-12,H2,23641,5570622.52,40,40
Food,2025-07-14,H2,17374,3838869.55,44,40
Food,2025-07-15,H2,18061,4652589.05,29,29
Food,2025-07-16,H2,11703,2907124.05,23,23
Food,2025-07-17,H2,40713,11442614.77,74,67
Food,2025-07-18,H2,14859,3909680.5,34,33
Food,2025-07-19,H2,7757,1641426.26,9,8
Food,2025-07-21,H2,26009,5899746.71,52,45
Food,2025-07-22,H2,33445,9319761.26,57,53
Food,2025-07-23,H2,24511,6167048.71,43,39
Food,2025-07-24,H2,28056,8687152.94,58,47
Food,2025-07-25,H2,22925,6730371.0,47,40
Food,2025-07-26,H2,37531,9841764.27,83,59
Food,2025-07-28,H2,60867,17181008.24,93,70
Food,2025-07-29,H2,32414,7956456.4,93,74
Food,2025-07-30,H2,36171,10116646.08,95,72
Food,2025-07-31,H2,43583,11826188.84,160,128
Food,2025-08-01,H2,10430,2835838.1,28,27
Food,2025-08-02,H2,7130,1637320.3,20,20
Food,2025-08-04,H2,16767,3852987.39,39,39
Food,2025-08-05,H2,13235,3724710.82,33,33
