sku,description,category,date,period,quantity,revenue,num_orders,num_customers
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-01-14,H1,12,900.0,1,1
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-01-15,H1,14,996.0,2,2
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-01-16,H1,84,6132.0,1,1
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-01-17,H1,646,47898.0,9,9
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-01-18,H1,446,31710.0,3,3
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-01-20,H1,456,32352.0,4,4
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-01-21,H1,260,18590.0,2,2
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-01-22,H1,978,69531.0,6,6
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-01-24,H1,1756,139372.0,4,4
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-01-27,H1,324,23652.0,4,4
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-01-28,H1,98,7188.0,4,4
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-01-29,H1,148,10848.0,4,4
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-01-30,H1,796,56476.0,6,6
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-01-31,H1,196,14308.0,2,2
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-02-01,H1,2,144.0,1,1
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-02-06,H1,37,2664.0,1,1
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-02-07,H1,40,2880.0,3,3
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-02-11,H1,34,2448.0,2,2
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-02-12,H1,16,1156.0,3,3
10006,PLAYGIRL ROLL-ON DESIRE 6x50ML,Toiletries,2025-02-17,H1,10,725.0,2,2
