customer_id,customer_name,primary_region,total_orders,total_units,total_revenue,avg_order_value,avg_days_between_orders,cycle_regularity,buyer_type,customer_segment,first_order,last_order,active_weeks
346,RAJON BLUE SHOP,Cape Town,29,11010.0,3447479.76,118878.61241379309,14.91304347826087,Sporadic,High-Value Buyer,Small Retailer,2025-01-10,2025-12-19,16
587,NEATELA LIFESTYLE (PTY) LTD,Gauteng,17,5019.0,1494215.33,87895.0194117647,22.4,Irregular,High-Value Buyer,Small Retailer,2025-01-17,2025-12-19,13
168,ROHAN SUPERMARKET,Hardware,256,91558.0,11993060.57,46847.8928515625,2.6744186046511627,Monthly,Frequent Buyer,Small Retailer,2025-01-09,2025-12-20,34
189,MEDICAL CENTER,Gauteng,17,8522.0,1681067.92,98886.3482352941,21.666666666666668,Irregular,High-Value Buyer,Medium Retailer,2025-01-29,2025-12-20,14
117,ALFAJRI GENERAL TRADING (PTY) LTD,Hardware,139,43779.0,25267594.44,181781.25496402878,2.982608695652174,Bi-weekly,High-Value Buyer,Small Retailer,2025-01-13,2025-12-22,39
630,GANI WHOLESALERS (PTY) LTD,Gauteng,50,40925.0,7038052.26,140761.0452,7.568181818181818,Monthly,High-Value Buyer,Medium Retailer,2025-01-21,2025-12-20,29
596,R 5 MUSA SHOP,Gauteng,15,1006.0,157799.55,10519.97,28.75,Irregular,Regular Buyer,Small Retailer,2025-01-08,2025-12-19,11
333,H H X TRADE,Gauteng,34,41417.0,7372844.82,216848.37705882353,10.40625,Monthly,High-Value Buyer,Medium Retailer,2025-01-21,2025-12-20,25
148,AFRICAN SUPERMARKET,Gauteng,24,18028.0,3798258.9999999995,158260.79166666666,15.727272727272727,Sporadic,High-Value Buyer,Medium Retailer,2025-01-08,2025-12-20,20
372,YASEENS SUPERETTE,Gauteng,45,58070.0,8887481.59,197499.5908888889,7.809523809523809,Monthly,High-Value Buyer,Medium Retailer,2025-01-24,2025-12-18,31
160,BBK SUPERMARKET,Gauteng,36,28515.0,4467950.35,124109.73194444443,11.225806451612904,Monthly,High-Value Buyer,Medium Retailer,2025-01-09,2025-12-23,25
542,YAFEIT GENERAL TRADING,Gauteng,25,23492.0,3871710.4700000007,154868.4188,14.043478260869565,Monthly,High-Value Buyer,Medium Retailer,2025-01-30,2025-12-19,21
357,NURANI TUCKSHOP,Gauteng,92,68903.0,12681721.11160826,137844.7946913941,4.526315789473684,Monthly,High-Value Buyer,Medium Retailer,2025-01-10,2025-12-20,33
224,NATURE'S HEALING,Gauteng,15,4645.0,1046968.9999999999,69797.93333333332,26.0,Sporadic,High-Value Buyer,Small Retailer,2025-01-16,2025-12-20,13
554,FAMILY SUPERMARKET,Gauteng,18,2729.0,889833.12,49435.17333333333,23.0,Irregular,Regular Buyer,Small Retailer,2025-01-08,2025-12-19,13
461,SOMAIYA SUPERMARKET,Gauteng,15,5394.0,873080.5299999999,58205.36866666666,24.428571428571427,Irregular,High-Value Buyer,Small Retailer,2025-01-10,2025-12-18,13
673,BUEMA COMERCIAL;E.I,Gauteng,45,42179.0,7031137.65,156247.50333333336,8.275,Monthly,High-Value Buyer,Medium Retailer,2025-01-23,2025-12-20,31
628,MA SWEET SUPERMARKET,Gauteng,18,6989.0,1339856.87,74436.49277777778,21.625,Irregular,High-Value Buyer,Small Retailer,2025-01-08,2025-12-20,15
386,LUCKY SHOPS,Gauteng,20,3973.0,773892.94,38694.647,20.176470588235293,Irregular,Regular Buyer,Small Retailer,2025-01-10,2025-12-19,14
223,ADEED GENERAL DEALERS (PTY)LTD,Gauteng,12,2615.0,610287.3999999999,50857.283333333326,30.636363636363637,Irregular,High-Value Buyer,Small Retailer,2025-01-17,2025-12-20,9
151,NEW STAR SUPERMARKET,Hardware,61,19545.0,6144612.369999999,100731.35032786884,7.040816326530612,Monthly,High-Value Buyer,Small Retailer,2025-01-09,2025-12-20,29
437,UNIMART ALEXANDRA TRADING (PTY)LTD,Gauteng,9,5298.0,918773.69,102085.96555555555,40.375,Irregular,High-Value Buyer,Medium Retailer,2025-01-29,2025-12-18,9
618,MMM RUGRATS,Gauteng,16,3408.0,659884.2100000001,41242.763125000005,21.533333333333335,Irregular,Regular Buyer,Small Retailer,2025-01-31,2025-12-20,13
104,GREEN SUPERMARKET,Hardware,783,271360.0,36453600.11,46556.32197956577,1.9171270718232045,Bi-weekly,Bulk Buyer,Bulk/Wholesale,2025-01-10,2025-12-23,40
318,WOSA WOSA WHOLE SALER,Gauteng,14,9537.0,2175233.22,155373.80142857143,25.615384615384617,Irregular,High-Value Buyer,Medium Retailer,2025-01-21,2025-12-20,11
344,RICH FOREVER ENTERPRISES,Gauteng,19,7791.0,1061677.58,55877.76736842105,19.058823529411764,Sporadic,High-Value Buyer,Small Retailer,2025-01-30,2025-12-20,16
HB_FOU002,FOURWAYS SHOP,George,51,56074.0,12834456.48,251656.0094117647,13.576923076923077,Irregular,High-Value Buyer,Medium Retailer,2024-01-16,2025-12-22,40
HB_QOL001,QOLWENI DISCOUNT SHOP,George,65,115320.0,23594672.13,362994.95584615384,10.492537313432836,Irregular,Bulk Buyer,Bulk/Wholesale,2024-01-15,2025-12-18,43
HB_NJ 001,NJ Comunitty Cash Store,George,64,113573.0,27676429.65,432444.21328125,10.984375,Irregular,Bulk Buyer,Bulk/Wholesale,2024-01-16,2025-12-19,41
HB_BUS001,BUSY CORNER HOP,George,65,120054.0,24927510.22,383500.1572307692,5.3125,Monthly,Bulk Buyer,Bulk/Wholesale,2025-01-14,2025-12-20,37
HB_ALS001,Alshabaab Shop,George,58,101301.0,24962350.0,430385.3448275862,11.75,Irregular,Bulk Buyer,Bulk/Wholesale,2024-01-17,2025-12-22,40
HB_FRI004,Friendly Shop Super Market,George,63,93202.0,21502410.799999997,341308.1079365079,11.306451612903226,Irregular,High-Value Buyer,Medium Retailer,2024-01-21,2025-12-22,43
HB_RAM003,RAMADHAN CASH STORE,George,46,69382.0,14334466.0,311618.82608695654,15.488888888888889,Irregular,High-Value Buyer,Medium Retailer,2024-01-25,2025-12-22,36
HB_PEO003,People's Cash Store,George,41,67374.0,14887666.95,363113.82804878044,16.738095238095237,Irregular,High-Value Buyer,Medium Retailer,2024-01-15,2025-12-18,34
HB_JJ'001,JJ's Supermarket,George,63,121992.0,27078944.77,429824.52015873016,11.015625,Irregular,Bulk Buyer,Bulk/Wholesale,2024-01-17,2025-12-22,44
HB_ALL007,All Nation Shop,George,54,67809.0,15587807.9,288663.10925925925,12.709090909090909,Irregular,High-Value Buyer,Medium Retailer,2024-01-21,2025-12-20,36
HB_HOP001,Hope Cash&Carry,George,68,137578.0,33637591.21,494670.4589705882,9.95774647887324,Irregular,Bulk Buyer,Bulk/Wholesale,2024-01-15,2025-12-22,40
