customer_id,customer_name,primary_region,total_orders,total_units,total_revenue,avg_order_value,avg_days_between_orders,cycle_regularity,buyer_type,top_skus,first_order,last_order,active_weeks,customer_segment
177,KB SUPERSTORE,Gauteng,94,103623.0,17398905.01,185094.7341489362,6.254545454545455,Monthly,Bulk Buyer,"12064,12130,10944,10588,11755",2025-01-10,2025-12-20,36,Bulk/Wholesale
399,DUMA AFRICAN MARKET,Gauteng,109,192749.0,21475974.47,197027.2887155963,3.8181818181818183,Bi-weekly,Bulk Buyer,"11119,10675,10944,11755,11480",2025-01-17,2025-12-19,44,Bulk/Wholesale
122,JUST FOR YOU,Gauteng,23,9010.0,1831288.02,79621.21826086957,16.19047619047619,Sporadic,High-Value Buyer,"11110,10020,11489,10051,10494",2025-01-14,2025-12-20,18,Small Retailer
650,RAINBOW CASH AND CARRY(PTY) LTD,Gauteng,42,46579.0,7705163.609999999,183456.2764285714,8.538461538461538,Monthly,High-Value Buyer,"10959,10026,11755,10965,10867",2025-01-21,2025-12-20,30,Medium Retailer
523,"MIM, MINI SUPERMARKET",Gauteng,29,4822.0,1504565.5299999998,51881.56999999999,15.0,Irregular,High-Value Buyer,"10172,10869,10678,10679,10080",2025-01-08,2025-12-19,15,Small Retailer
195,KAFF DISTRIBUTOR,Gauteng,45,61415.0,7799324.109999999,173318.31355555553,8.512820512820513,Monthly,High-Value Buyer,"10006,10026,10025,11119,10675",2025-01-22,2025-12-20,29,Medium Retailer
387,FIRST CHOICE CASH AND CARRY,Gauteng,191,292718.0,44531780.190000005,233150.68162303668,2.5036496350364965,Weekly,Bulk Buyer,"11119,10051,10675,10396,10959",2025-01-10,2025-12-19,46,Bulk/Wholesale
105,JEEBHAI COSMETICS,Gauteng,203,583732.0,60803539.84,299524.8267980296,2.5303030303030303,Weekly,Bulk Buyer,"11119,10675,10679,10678,11755",2025-01-20,2025-12-20,46,Bulk/Wholesale
582,LOYAN TRADING CASH & CARRY,Gauteng,50,34028.0,6709744.699999999,134194.89399999997,7.976744186046512,Monthly,High-Value Buyer,"10679,10678,10218,10417,10447",2025-01-10,2025-12-19,32,Medium Retailer
81,DAILY DIAPERS WHOLESALERS AND RETAILRS (PTY) LTD,Gauteng,140,520064.0,33737084.88,240979.17771428573,3.4554455445544554,Bi-weekly,Bulk Buyer,"12209,10290,12210,10289,11119",2025-01-08,2025-12-23,45,Bulk/Wholesale
180,AL GHER SUPERMARKET,Gauteng,11,1907.0,685204.04,62291.27636363637,33.9,Irregular,High-Value Buyer,"11547,11498,10490,10869,10205",2025-01-15,2025-12-20,10,Small Retailer
549,MUBARAK SUPERMAKET SA,Gauteng,31,22133.0,3948721.09,127378.09967741935,13.6,Sporadic,High-Value Buyer,"10592,10675,10965,10970,10795",2025-01-13,2025-12-19,22,Medium Retailer
393,GIFT PHARMACY,Gauteng,23,5193.0,913139.53,39701.71869565218,18.05263157894737,Irregular,Regular Buyer,"11536,11537,10114,11422,11110",2025-01-10,2025-12-19,12,Small Retailer
707,NEW GUOFA TRADING (PTY) LTD,Gauteng,24,12837.0,2383305.25,99304.38541666667,15.272727272727273,Sporadic,High-Value Buyer,"10244,10080,10017,10678,10679",2025-01-18,2025-12-20,21,Medium Retailer
20,USAVE MORE CASH & CARRY,Gauteng,62,71744.0,10328058.239999998,166581.58451612902,5.946428571428571,Monthly,High-Value Buyer,"11119,10679,11755,11271,10060",2025-01-21,2025-12-20,36,Medium Retailer
0,SOUTHERN ELAND (PTY) LTD,Gauteng,8,8152.0,1239903.4500000002,154987.93125000002,3.8,Weekly,High-Value Buyer,"10594,10611,11325,10244,10370",2025-04-04,2025-04-23,4,Medium Retailer
146,MOGADISHO SUPERMARKET,Gauteng,44,56347.0,6862102.57,155956.8765909091,8.717948717948717,Monthly,High-Value Buyer,"11514,11755,11119,11081,10541",2025-01-14,2025-12-20,29,Medium Retailer
607,LNA INVESTMENTS,Gauteng,95,152861.0,21179566.439999998,222942.8046315789,4.2025316455696204,Bi-weekly,Bulk Buyer,"10675,11119,11107,11487,11151",2025-01-22,2025-12-20,42,Bulk/Wholesale
