customer_id,customer_name,region_name,year_week,period,quantity,revenue,num_orders,date
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W38,H2,9192,2383785.26,9,2025-09-15
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W39,H2,5939,786247.72,5,2025-09-23
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W40,H2,8521,1374069.53,7,2025-09-29
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W41,H2,7920,1602017.52,11,2025-10-06
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W42,H2,186,21768.0,1,2025-10-13
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W43,H2,3548,867510.7,3,2025-10-21
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W44,H2,34894,8877291.33,16,2025-10-27
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W45,H2,78519,3699984.63,6,2025-11-03
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W46,H2,38976,1429537.0,5,2025-11-10
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W47,H2,178531,4479658.42,14,2025-11-17
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W48,H2,91218,2147898.92,7,2025-11-24
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W49,H2,14801,2783707.9,7,2025-12-01
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W50,H2,3901,501547.64,2,2025-12-09
3,"SUPERMERCADO TODO DIA, LDA",Gauteng,2025-W51,H2,567,109848.76000000001,3,2025-12-17
4,SEGWAGWA CC,Gauteng,2025-W02,H1,9432,3840272.0,2,2025-01-08
4,SEGWAGWA CC,Gauteng,2025-W03,H1,48078,8483012.45,4,2025-01-13
4,SEGWAGWA CC,Gauteng,2025-W04,H1,21040,5640393.6,2,2025-01-22
4,SEGWAGWA CC,Gauteng,2025-W05,H1,48928,6443534.28,4,2025-01-27
4,SEGWAGWA CC,Gauteng,2025-W06,H1,2638,797749.0,3,2025-02-04
4,SEGWAGWA CC,Gauteng,2025-W07,H1,1509,556367.0,5,2025-02-10
4,SEGWAGWA CC,Gauteng,2025-W08,H1,2786,1316766.0,4,2025-02-17
4,SEGWAGWA CC,Gauteng,2025-W09,H1,8138,813772.0,2,2025-02-28
4,SEGWAGWA CC,Gauteng,2025-W10,H1,1377,207974.0,1,2025-03-08
4,SEGWAGWA CC,Gauteng,2025-W11,H1,23009,2175348.25,6,2025-03-10
4,SEGWAGWA CC,Gauteng,2025-W12,H1,7283,1817247.0,6,2025-03-18
4,SEGWAGWA CC,Gauteng,2025-W13,H1,7328,2178804.6,3,2025-03-24
4,SEGWAGWA CC,Gauteng,2025-W14,H1,33435,4695692.09,4,2025-03-31
4,SEGWAGWA CC,Gauteng,2025-W15,H1,503,271016.0,1,2025-04-12
4,SEGWAGWA CC,Gauteng,2025-W16,H1,13875,1129315.75,3,2025-04-14
4,SEGWAGWA CC,Gauteng,2025-W17,H1,24393,2177359.4,4,2025-04-21
4,SEGWAGWA CC,Gauteng,2025-W18,H1,25843,5495248.88,4,2025-04-28
4,SEGWAGWA CC,Gauteng,2025-W19,H1,5270,947032.98,1,2025-05-05
4,SEGWAGWA CC,Gauteng,2025-W20,H1,9035,1207078.64,2,2025-05-13
4,SEGWAGWA CC,Gauteng,2025-W24,H1,3532,432469.89,9,2025-06-09
